time,active_drone_count,total_system_energy,avg_voronoi_cell_area,avg_kinematic_velocity,hibernation_coverage,hibernation_auction
1.0,50,553.1102252115268,200.0,0.0,0.0,0.0
6.0,50,459.19033971580876,200.0,1.6048255875583541,0.0,0.0
11.0,50,388.256173106464,200.0,1.2986385978025177,0.0,0.0
16.0,49,314.3716990074907,204.08163265306123,1.188809787823224,0.0,0.0
21.0,44,236.46387704141168,227.27272727272728,1.2387209196053204,0.0,0.0
26.0,43,153.3978032106936,232.5581395348837,1.1731403641814173,0.0,0.0
31.0,32,92.52179516287872,312.5,1.2974468191297532,0.0,0.0
36.0,23,62.96966796883092,434.7826086956522,1.0784021489564075,0.0,0.0
41.0,19,48.788614927259786,526.3157894736842,1.0089260520738772,0.0,0.0
46.0,15,38.89295196080786,666.6666666666666,1.0185417615021513,0.0,0.0
51.0,12,30.351697658861934,833.3333333333334,1.1357271126886195,0.0,0.0
56.0,10,24.3941745489321,1000.0,0.8966846045095413,0.0,0.0
61.0,8,21.13952531760874,1250.0,0.9231115041826166,0.0,0.0
66.0,7,17.942741712015106,1428.5714285714287,0.8135964438511457,0.0,0.0
71.0,6,15.495857212522036,1666.6666666666667,0.6341634717298013,0.0,0.0
76.0,4,15.377163410788473,2500.0,0.5227642408370423,0.0,0.0
81.0,4,15.288095154749984,2500.0,0.48552617690756206,0.0,0.0
86.0,4,15.20491178089925,2500.0,0.4876564478818976,0.0,0.0
91.0,4,15.124938209593974,2500.0,0.46600342895373553,0.0,0.0
96.0,4,15.049681937395725,2500.0,0.4680216037468676,0.0,0.0
101.0,4,14.959871333685777,2500.0,0.44512575409002153,0.0,0.0
106.0,4,14.898221120901402,2500.0,0.45617495224225946,0.0,0.0
111.0,4,14.817120319550394,2500.0,0.4351099001120554,0.0,0.0
116.0,4,14.741855167813826,2500.0,0.4311983030855261,0.0,0.0
121.0,4,14.684811616475956,2500.0,0.44377772044916564,0.0,0.0
126.0,4,14.614373832921405,2500.0,0.42504731676130453,0.0,0.0
131.0,4,14.54762972186361,2500.0,0.43998812462577047,0.0,0.0
136.0,4,14.48821654426537,2500.0,0.4361642704742295,0.0,0.0
141.0,4,14.41515161221973,2500.0,0.42518095895892305,0.0,0.0
146.0,4,14.353196300917256,2500.0,0.42651430079454705,0.0,0.0
151.0,4,14.284598727697693,2500.0,0.42596364306604106,0.0,0.0
156.0,4,14.22200423603206,2500.0,0.42131949744230307,0.0,0.0
161.0,4,14.149831421485693,2500.0,0.4141665421659791,0.0,0.0
166.0,4,14.092054393422881,2500.0,0.4223995973293619,0.0,0.0
171.0,4,14.015891073644415,2500.0,0.418948077388412,0.0,0.0
176.0,4,13.96185606096833,2500.0,0.4211526301736459,0.0,0.0
181.0,4,13.89324225346007,2500.0,0.4284481223045187,0.0,0.0
186.0,4,13.82903824688305,2500.0,0.411310549959791,0.0,0.0
191.0,4,13.759916095465933,2500.0,0.41714405949497685,0.0,0.0
196.0,4,13.702487311845317,2500.0,0.419600771754809,0.0,0.0
201.0,4,13.634556091139387,2500.0,0.41043154084904765,0.0,0.0
206.0,4,13.572228165789374,2500.0,0.43303658052337646,0.0,0.0
211.0,4,13.511781045541914,2500.0,0.4189468101906421,0.0,0.0
216.0,4,13.440381010982199,2500.0,0.40989171937891067,0.0,0.0
221.0,4,13.38197159003264,2500.0,0.42553724185886965,0.0,0.0
226.0,4,13.317731124252816,2500.0,0.41580550975552366,0.0,0.0
231.0,4,13.246394650620468,2500.0,0.40956020151855926,0.0,0.0
236.0,4,13.189119276620385,2500.0,0.41836782524572863,0.0,0.0
241.0,4,13.123821802016696,2500.0,0.41556179970026885,0.0,0.0
246.0,4,13.059454560053572,2500.0,0.4259612856939896,0.0,0.0
251.0,4,12.991716647470694,2500.0,0.42590998195947294,0.0,0.0
256.0,4,12.930286123792431,2500.0,0.4154121312625798,0.0,0.0
261.0,4,12.862560693497219,2500.0,0.40923157631212204,0.0,0.0
266.0,4,12.8017693683683,2500.0,0.4180801908663553,0.0,0.0
271.0,4,12.734053408080737,2500.0,0.40917635666752317,0.0,0.0
276.0,4,12.671885597880362,2500.0,0.43189173768132855,0.0,0.0
281.0,4,12.61156759866848,2500.0,0.4180129834525193,0.0,0.0
286.0,4,12.540310543379977,2500.0,0.4091208793934332,0.0,0.0
291.0,4,12.481989652979196,2500.0,0.424849506948658,0.0,0.0
296.0,4,12.417837675243863,2500.0,0.40909637814376526,0.0,0.0
