time,avg_network_delay,max_velocity_cmd_run_A,max_velocity_cmd_run_B,clamped_events_count,hibernation_coverage,hibernation_auction
1.0,2.0,0.0,0.0,0,0.0,0.0
6.0,2.0,2.0,0.0,0,0.0,0.0
11.0,2.0,2.0,0.0,0,0.0,0.0
16.0,2.0,2.0,0.0,0,0.0,0.0
21.0,2.0,2.0,0.0,0,0.0,0.0
26.0,2.0,2.0,0.0,0,0.0,0.0
31.0,2.0,2.0,0.0,0,0.0,0.0
36.0,2.0,2.0,0.0,0,0.4437053124999999,0.5712053125
41.0,2.0,2.0,0.0,0,0.37714951562499993,0.485524515625
46.0,2.0,2.0,0.0,0,0.3205770882812499,0.42448958828125
51.0,2.0,2.0,0.0,0,0.27249052503906246,0.3608161500390625
56.0,2.0,2.0,0.0,0,0.23161694628320312,0.2506328882474888
61.0,2.0,2.0,0.0,0,0.19687440434072265,0.21303795501036552
66.0,2.0,2.0,0.0,0,0.16734324368961426,0.18337209810367675
71.0,2.0,2.0,0.0,0,0.1422417571361721,0.15586628338812522
76.0,2.0,2.0,0.0,0,0.12090549356574629,0.12090549356574629
81.0,2.0,2.0,0.0,0,0.0,0.0
86.0,2.0,2.0,0.0,0,0.0,0.0
91.0,2.0,2.0,0.0,0,0.0,0.0
96.0,2.0,2.0,0.0,0,0.0,0.0
101.0,2.0,2.0,0.0,0,0.0,0.0
106.0,2.0,2.0,0.0,0,0.0,0.0
111.0,2.0,2.0,0.0,0,0.0,0.0
116.0,2.0,2.0,0.0,0,0.0,0.0
121.0,2.0,2.0,0.0,0,0.0,0.0
126.0,2.0,1.9999999999999998,0.0,0,0.0,0.0
131.0,2.0,2.0,0.0,0,0.0,0.0
136.0,2.0,2.0,0.0,0,0.0,0.0
141.0,2.0,2.0,0.0,0,0.0,0.0
146.0,2.0,2.0,0.0,0,0.0,0.0
151.0,2.0,1.9999999999999998,0.0,0,0.0,0.0
156.0,2.0,2.0,0.0,0,0.0,0.0
161.0,2.0,2.0,0.0,0,0.0,0.0
166.0,2.0,1.0,0.0,0,0.0,0.0
171.0,2.0,1.0,0.0,0,0.0,0.0
176.0,2.0,1.0,0.0,0,0.0,0.0
181.0,2.0,1.0,0.0,0,0.0,0.0
186.0,2.0,1.0,0.0,0,0.0,0.0
191.0,2.0,1.0,0.0,0,0.0,0.0
196.0,2.0,1.0,0.0,0,0.0,0.0
