time,active_drone_count,total_system_energy,avg_voronoi_cell_area,avg_kinematic_velocity,hibernation_coverage,hibernation_auction
1.0,50,553.1102252115268,200.0,0.0,0.0,0.0
6.0,50,457.4803794996537,200.0,1.7704739765163546,0.0,0.0
11.0,50,365.33529152504076,200.0,1.4929276899119488,0.0,0.0
16.0,46,254.1576248662294,217.3913043478261,1.547642188622403,0.0,0.0
21.0,37,149.5415351645305,270.27027027027026,1.6060939374551775,0.0,0.0
26.0,29,85.17748452676989,344.82758620689657,1.5186291645610392,0.0,0.0
31.0,21,58.349465302171986,476.1904761904762,1.3746401919047797,0.0,0.0
36.0,16,38.666268226546045,625.0,1.0880617579100165,0.0,0.0
41.0,12,28.568895260827112,833.3333333333334,1.0972417734790223,0.0,0.0
46.0,7,21.8401687253454,1428.5714285714287,0.9070981397369408,0.0,0.0
51.0,7,20.473618988570713,1428.5714285714287,0.6805762399558372,0.0,0.0
56.0,6,19.02965991455618,1666.6666666666667,0.6306053489773062,0.0,0.0
61.0,6,17.111257651541706,1666.6666666666667,0.42163041958945263,0.0,0.0
66.0,6,16.127661626876872,1666.6666666666667,0.3913459468808706,0.0,0.0
71.0,5,15.713838030107727,2000.0,0.05544179513781787,0.0,0.0
76.0,5,15.688838030107732,2000.0,0.0,0.0,0.0
81.0,5,15.663838030107735,2000.0,0.0,0.0,0.0
86.0,5,15.038838030107733,2000.0,0.4,0.0,0.0
91.0,5,14.013838030107731,2000.0,0.4,0.0,0.0
96.0,5,12.388838030107726,2000.0,0.8,0.0,0.0
101.0,4,9.699356595085973,2500.0,0.5,0.0,0.0
106.0,4,8.679356595085972,2500.0,0.5,0.0,0.0
111.0,4,8.459356595085975,2500.0,0.0,0.0,0.0
116.0,4,8.439356595085975,2500.0,0.0,0.0,0.0
121.0,4,8.019356595085977,2500.0,0.25,0.0,0.0
126.0,3,7.071838433360732,3333.3333333333335,1.0,0.0,0.0
131.0,3,5.621504135558473,3333.3333333333335,1.0,0.0,0.0
136.0,2,4.718435736431708,5000.0,1.0,0.0,0.0
141.0,2,3.766341446005898,5000.0,1.0,0.0,0.0
146.0,2,2.756341446005898,5000.0,0.9999999999999999,0.0,0.0
151.0,2,1.746341446005899,5000.0,1.0,0.0,0.0
156.0,1,0.7688829675417473,10000.0,1.0,0.0,0.0
161.0,1,0.2638829675417471,10000.0,1.0,0.0,0.0
166.0,0,0.0,0.0,0.0,0.0,0.0
171.0,0,0.0,0.0,0.0,0.0,0.0
176.0,0,0.0,0.0,0.0,0.0,0.0
181.0,0,0.0,0.0,0.0,0.0,0.0
186.0,0,0.0,0.0,0.0,0.0,0.0
191.0,0,0.0,0.0,0.0,0.0,0.0
196.0,0,0.0,0.0,0.0,0.0,0.0
201.0,0,0.0,0.0,0.0,0.0,0.0
206.0,0,0.0,0.0,0.0,0.0,0.0
211.0,0,0.0,0.0,0.0,0.0,0.0
216.0,0,0.0,0.0,0.0,0.0,0.0
221.0,0,0.0,0.0,0.0,0.0,0.0
226.0,0,0.0,0.0,0.0,0.0,0.0
231.0,0,0.0,0.0,0.0,0.0,0.0
236.0,0,0.0,0.0,0.0,0.0,0.0
241.0,0,0.0,0.0,0.0,0.0,0.0
246.0,0,0.0,0.0,0.0,0.0,0.0
251.0,0,0.0,0.0,0.0,0.0,0.0
256.0,0,0.0,0.0,0.0,0.0,0.0
261.0,0,0.0,0.0,0.0,0.0,0.0
266.0,0,0.0,0.0,0.0,0.0,0.0
271.0,0,0.0,0.0,0.0,0.0,0.0
276.0,0,0.0,0.0,0.0,0.0,0.0
281.0,0,0.0,0.0,0.0,0.0,0.0
286.0,0,0.0,0.0,0.0,0.0,0.0
291.0,0,0.0,0.0,0.0,0.0,0.0
296.0,0,0.0,0.0,0.0,0.0,0.0
